Cluster,Contract,OnlineSecurity,Partner,Dependents,Churn
2,"'Two year': 72% , 'One year': 28% ","'Yes': 49% , 'No internet service': 34% , 'No': 17% ","'Yes': 81% , 'No': 19% ","'Yes': 56% , 'No': 44% ","'0': 95% , '1': 5% "
1,"'Month-to-month': 82% , 'One year': 15% , 'Two year': 2% ","'No': 81% , 'Yes': 19% ","'No': 67% , 'Yes': 33% ","'No': 87% , 'Yes': 13% ","'0': 58% , '1': 42% "
0,"'Month-to-month': 72% , 'One year': 28% ","'No internet service': 78% , 'Yes': 22% ","'No': 66% , 'Yes': 34% ","'No': 60% , 'Yes': 40% ","'0': 85% , '1': 15% "
